Date,OMR3M,BHD3M,KWD3M,QAR3M,SAR3M,AED3M,EUR3M,EIBO3M,Gold,Oil,MSCI EM,SPX,USDL3M,GAS
2009/5/14,0.38235,0.3788,0.29664,3.64425,3.7491,3.6737,1.35816,2.49375,925.25,58.62,699.391,893.07,0.0085438,4.291999817
2009/5/15,0.3816,0.37855,0.2965,3.6405,3.7495,3.6717,1.35878,2.49375,929.5,56.34,707.928,882.88,0.0082563,4.09800005
2009/5/18,0.38059,0.37905,0.29597,3.6465,3.7486,3.67405,1.34842,2.4875,921,59.03,728.492,909.71,0.00785,4.138999939
2009/5/19,0.38054,0.37907,0.2957,3.6466,3.7488,3.6719,1.36009,2.4875,924.75,59.65,745.819,908.13,0.007525,3.914000034
2009/5/20,0.3806,0.37897,0.29525,3.6467,3.74935,3.674,1.37685,2.4875,939.5,62.02,756.07,903.47,0.0071625,3.970000029
2009/5/21,0.37751,0.37898,0.29416,3.64625,3.749,3.67335,1.37558,2.48125,937.5,60.55,740.957,888.33,0.0066125,3.602999926
2009/5/22,0.38136,0.37858,0.29279,3.64435,3.7492,3.6736,1.39777,2.48125,959.75,61.17,746.417,887,0.0066,3.515000105
2009/5/25,0.3806,0.37898,0.2941,3.6448,3.74885,3.67315,1.39956,2.46875,959.75,61.17,747.094,887,0.00661875,3.526000023
2009/5/26,0.38056,0.37907,0.29425,3.6467,3.7488,3.6735,1.39748,2.475,945,62.45,739.618,910.33,0.0066375,3.536999941
2009/5/27,0.38134,0.3786,0.29494,3.64625,3.7485,3.67255,1.3919,2.475,951,63.45,754.18,893.06,0.0067375,3.538000107
2009/5/28,0.38125,0.3786,0.29517,3.64675,3.74845,3.6732,1.39307,2.475,957.75,65.08,761.744,906.83,0.006675,3.957000017
2009/5/29,0.38136,0.37858,0.29364,3.64635,3.7502,3.6725,1.41444,2.475,975.5,66.31,773.121,919.14,0.0065625,3.835000038
2009/6/1,0.38134,0.37861,0.29391,3.64635,3.74845,3.6731,1.41465,2.475,981.75,68.58,802.21,942.87,0.0065,4.249000072
2009/6/2,0.3775,0.37857,0.29264,3.64355,3.74845,3.67345,1.42876,2.46875,980,68.55,795.592,944.74,0.0064625,4.119999886
2009/6/3,0.38209,0.37858,0.29364,3.64325,3.7485,3.67285,1.41766,2.46875,976.75,66.12,784.221,931.76,0.0063688,3.766000032
2009/6/4,0.3821,0.37858,0.29419,3.64475,3.74845,3.67335,1.41753,2.4625,970.75,68.81,781.757,942.46,0.0062938,3.809999943
2009/6/5,0.382,0.37858,0.29532,3.6435,3.74835,3.67295,1.39945,2.4625,962,68.44,786.965,940.09,0.006325,3.868000031
2009/6/8,0.382,0.37908,0.2968,3.645,3.74865,3.67345,1.38458,2.4625,943.75,68.09,772.253,939.14,0.0065,3.730999947
